,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
107,108,MicroLED,BK0948,992.64,10.64,1.08,480417968000,1.0,18,2,沃格光电,9.03
108,109,智能穿戴,BK0641,2603.64,27.88,1.08,2461982864000,0.85,92,19,沃格光电,9.03
109,110,华为概念,BK0854,2926.8,31.34,1.08,12100908800000,1.05,514,165,爱施德,10.01
110,111,大飞机,BK0814,1282.46,13.59,1.07,1743798400000,0.71,79,16,能科科技,9.98
111,112,基金重仓,BK0536,10124.75,106.92,1.07,10913014272000,0.36,130,39,健之佳,8.97
112,113,GDR,BK0868,901.62,9.5,1.06,1510964992000,0.24,7,4,国轩高科,6.17
113,114,医疗器械概念,BK0668,3259.22,33.98,1.05,4470241536000,0.75,233,60,伟时电子,10.01
114,115,低空经济,BK1166,1261.16,13.05,1.05,2779949248000,0.94,161,48,渤海租赁,10.11
115,116,物联网,BK0554,12136.71,124.09,1.03,7781965568000,0.84,269,86,爱施德,10.01
116,117,蒙脱石散,BK1123,974.04,9.93,1.03,60805021000,0.4,10,0,方盛制药,1.82
117,118,中芯概念,BK0935,1188.76,12.1,1.03,2161363776000,0.6,51,8,有研硅,8.32
118,119,风能,BK0595,1822.5,18.54,1.03,6505270784000,0.37,148,59,电气风电,20.04
119,120,智能家居,BK0680,2261.24,22.85,1.02,3380431040000,0.79,110,41,科力尔,9.98
120,121,创业板综,BK0742,1306.72,13.2,1.02,12360425472000,1.09,1020,308,阳谷华泰,20.03
121,122,钠离子电池,BK0988,1159.53,11.7,1.02,1886145376000,0.73,44,6,湘潭电化,4.09
122,123,汽车芯片,BK0969,966.17,9.66,1.01,909987184000,0.88,43,5,北汽蓝谷,6.97
123,124,熔盐储能,BK1103,709.6,7.08,1.01,69911145000,0.29,9,0,迪尔化工,1.97
124,125,超级真菌,BK0862,1030.84,10.27,1.01,507601632000,0.45,16,3,润都股份,3.02
125,126,新冠药物,BK1060,751.07,7.46,1.0,566667248000,0.34,50,6,三元基因,4.18
126,127,无人机,BK0704,1821.73,18.01,1.0,2426564960000,0.9,119,34,瑞迪智驱,20.0
127,128,京东金融,BK0849,1324.84,13.08,1.0,223035158000,0.24,6,5,ST峡创,6.58
128,129,养老金,BK0823,1257.69,12.23,0.98,3029963984000,0.28,134,42,隆盛科技,7.37
129,130,病毒防治,BK0675,2355.39,22.89,0.98,1564055600000,0.42,98,18,哈三联,9.85
130,131,互联医疗,BK0837,918.41,8.88,0.98,4901863680000,0.79,73,28,荣科科技,19.08
131,132,植物照明,BK1007,902.47,8.66,0.97,160482899000,0.46,16,1,朗科智能,3.16
132,133,免疫治疗,BK0698,1298.24,12.45,0.97,465113792000,0.31,35,8,泰林生物,4.8
133,134,动力电池回收,BK1052,682.28,6.51,0.96,688582256000,0.78,25,11,天奇股份,9.29
134,135,百元股,BK1059,596.14,5.54,0.94,11022542336000,0.37,47,21,赛力斯,8.15
135,136,发电机概念,BK1014,1049.35,9.74,0.94,111165185000,1.03,15,5,新柴股份,7.14
136,137,生物识别,BK0970,1303.26,12.05,0.93,1002169040000,1.09,40,9,奥比中光-UW,4.81
137,138,第三代半导体,BK0952,1267.01,11.66,0.93,1647030480000,0.98,95,13,云南锗业,10.0
138,139,数字孪生,BK0861,1206.44,11.03,0.92,910141520000,0.53,50,23,能科科技,9.98
139,140,半导体概念,BK0917,1482.14,13.33,0.91,7212001792000,1.06,265,55,云南锗业,10.0
140,141,国产芯片,BK0891,2745.29,24.53,0.9,8951212800000,0.95,287,68,阳谷华泰,20.03
141,142,超级电容,BK0703,3193.67,28.47,0.9,625329216000,0.5,24,10,赛摩智能,5.35
142,143,生物疫苗,BK0548,24325.39,216.14,0.9,1072567360000,0.29,56,14,昭衍新药,10.02
143,144,抽水蓄能,BK1003,1245.5,11.06,0.9,945061712000,0.17,19,10,金盘科技,9.36
144,145,车联网(车路云),BK0920,1246.1,11.05,0.89,5362715648000,0.89,162,53,天奇股份,9.29
145,146,LED,BK0580,2957.28,26.08,0.89,1299768656000,0.63,76,17,联创光电,10.0
146,147,合成生物,BK1174,1022.93,8.98,0.89,1238471808000,0.54,78,23,华康股份,9.97
147,148,EDA概念,BK0946,1095.31,9.58,0.88,226368083000,0.52,11,3,东土科技,4.69
148,149,户外露营,BK1079,1020.9,8.89,0.88,112584860000,0.54,18,6,绿茵生态,10.07
149,150,注射器概念,BK0973,837.67,7.28,0.88,73824288000,0.33,13,0,五洲医疗,1.94
150,151,抗菌面料,BK1116,1076.35,9.34,0.88,73238291000,0.33,8,4,欣贺股份,9.93
151,152,MiniLED,BK0902,1622.38,13.99,0.87,907093168000,0.88,49,10,伟时电子,10.01
152,153,军工,BK0490,55366.14,476.99,0.87,5732141568000,0.97,372,120,英洛华,9.96
153,154,噪声防治,BK1082,1098.38,9.45,0.87,30015765000,0.73,6,2,祥源新材,2.58
154,155,氦气概念,BK0949,1375.82,11.78,0.86,97606220000,0.39,8,2,杭氧股份,3.08
155,156,边缘计算,BK0860,1631.58,13.84,0.86,2431851712000,0.97,94,30,柯力传感,10.01
156,157,裸眼3D,BK1142,952.05,8.0,0.85,296320192000,0.69,16,5,伟时电子,10.01
157,158,QFII重仓,BK0535,15811.4,132.82,0.85,3171169504000,0.63,209,68,精伦电子,10.09
158,159,HIT电池,BK0908,2417.82,20.16,0.84,761970224000,1.05,27,11,协鑫集成,5.72
159,160,转债标的,BK0528,8576.68,70.4,0.83,7924653568000,0.35,367,143,阳谷华泰,20.03
160,161,深证100R,BK0743,1101.38,9.04,0.83,12817661696000,0.35,70,27,三花智控,5.76
161,162,ERP概念,BK1133,912.25,7.45,0.82,203209614000,0.49,10,6,鼎捷数智,3.23
162,163,深成500,BK0568,1081.71,8.73,0.81,21820717312000,0.6,351,133,埃斯顿,10.03
163,164,体外诊断,BK0841,1154.8,9.28,0.81,975022336000,0.27,53,13,浩欧博,20.0
