,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
27,28,云游戏,BK0903,1164.61,16.74,1.46,310791472000,0.44,21,4,慈文传媒,6.72
28,29,元宇宙概念,BK1009,1920.5,27.6,1.46,4309558272000,0.34,121,19,中科金财,9.99
29,30,拼多多概念,BK0957,992.68,13.8,1.41,115797718000,0.19,22,1,值得买,5.24
30,31,百度概念,BK0845,1564.29,21.63,1.4,2595245344000,0.44,108,27,中科金财,9.99
31,32,ERP概念,BK1133,1058.53,13.83,1.32,231367369000,0.3,14,2,鼎捷数智,5.87
32,33,网络游戏,BK0509,11088.24,144.53,1.32,941991216000,0.42,59,11,三六零,8.7
33,34,算力概念,BK1134,1321.77,16.74,1.28,6110801408000,0.22,111,19,中科金财,9.99
34,35,数字水印,BK1129,975.05,12.31,1.28,104326539000,0.23,15,2,北信源,4.68
35,36,数据要素,BK1135,1076.12,13.53,1.27,1805689184000,0.26,107,13,思特奇,6.44
36,37,手游概念,BK0642,1148.54,14.35,1.27,795873696000,0.41,39,8,三六零,8.7
37,38,电子竞技,BK0853,1202.9,14.74,1.24,2889759248000,0.18,30,5,天娱数科,6.17
38,39,NFT概念,BK0997,1451.63,17.76,1.24,510056272000,0.4,46,9,蓝色光标,8.67
39,40,职业教育,BK1022,1199.86,14.64,1.24,635754816000,0.39,61,6,蓝色光标,8.67
40,41,数字货币,BK0883,1802.78,21.56,1.21,904992160000,0.24,63,10,中科金财,9.99
41,42,电子身份证,BK1075,1247.03,14.89,1.21,353245344000,0.33,30,5,拓尔思,5.61
42,43,华为昇腾,BK0995,1404.07,16.19,1.17,372998032000,0.51,22,2,三联虹普,6.29
43,44,信创,BK1104,1695.64,19.4,1.16,3579864272000,0.52,194,33,中科金财,9.99
44,45,影视概念,BK0847,855.8,9.77,1.15,577000208000,0.19,54,6,慈文传媒,6.72
45,46,云计算,BK0579,2848.77,32.36,1.15,8021469696000,0.33,181,40,中科金财,9.99
46,47,空间计算,BK1143,1094.94,11.7,1.08,126092780000,0.16,21,2,凡拓数创,3.18
47,48,C2M概念,BK0955,1036.16,10.98,1.07,285801904000,0.18,29,7,酷特智能,20.03
48,49,数字经济,BK1061,1164.54,12.27,1.06,1707952496000,0.37,128,21,中科金财,9.99
49,50,国产软件,BK0696,3192.38,33.39,1.06,3282978608000,0.42,190,35,中科金财,9.99
50,51,大数据,BK0634,4631.1,48.26,1.05,5304946176000,0.3,238,55,中科金财,9.99
51,52,智慧城市,BK0628,4872.37,50.65,1.05,2566983104000,0.3,171,32,立方数科,19.92
52,53,网红直播,BK0940,609.91,6.19,1.03,1615906528000,0.33,104,16,海宁皮城,9.9
53,54,边缘计算,BK0860,1824.81,18.44,1.02,2645545424000,0.31,99,24,立方数科,19.92
54,55,国家安防,BK0667,2738.42,26.9,0.99,1701742960000,0.41,92,22,神力股份,10.0
55,56,跨境支付,BK1071,1625.49,15.72,0.98,10561900800000,0.03,34,15,易点天下,8.5
56,57,阿里概念,BK0689,2252.73,21.35,0.96,3014377200000,0.16,82,22,金财互联,9.95
57,58,鸿蒙概念,BK0953,1497.18,13.9,0.94,2188365264000,0.31,85,15,博彦科技,6.45
58,59,盲盒经济,BK0954,1068.56,9.92,0.94,111808553000,0.3,9,2,顺网科技,4.14
59,60,裸眼3D,BK1142,1022.45,9.36,0.92,300231584000,0.09,17,2,当虹科技,3.62
60,61,抗菌面料,BK1116,1145.75,10.32,0.91,78027517000,0.08,11,3,佛塑科技,10.0
61,62,eSIM,BK0956,1415.59,12.68,0.9,307057920000,0.17,8,1,恒宝股份,2.28
62,63,数字孪生,BK0861,1356.31,12.13,0.9,1005366032000,0.17,66,12,立方数科,19.92
63,64,广电,BK0904,1485.75,13.25,0.9,258645537000,0.17,22,4,中广天择,4.18
64,65,F5G概念,BK1088,2034.26,18.03,0.89,581589392000,0.07,19,2,通宇通讯,2.93
65,66,网络安全,BK0655,4266.27,37.55,0.89,4749363200000,0.33,103,28,南兴股份,10.01
66,67,电子车牌,BK0982,1372.57,12.08,0.89,172800495000,0.29,15,2,南威软件,4.23
67,68,人工智能,BK0800,1443.2,12.63,0.88,9170724096000,0.3,443,97,中科金财,9.99
68,69,英伟达概念,BK1161,1265.43,10.9,0.87,1325486368000,0.26,38,8,东方精工,5.63
69,70,移动支付,BK0556,11299.55,96.81,0.86,3343483920000,0.22,56,14,中科金财,9.99
70,71,托育服务,BK1074,648.56,5.54,0.86,80682947000,0.3,10,2,汤姆猫,3.85
71,72,智能电视,BK0656,1186.37,10.06,0.86,300043808000,0.29,10,2,华策影视,3.55
72,73,区块链,BK0830,1027.65,8.5,0.83,8288781056000,0.15,179,43,中科金财,9.99
73,74,在线旅游,BK0692,1591.68,13.1,0.83,230119351000,0.15,20,3,华闻集团,5.45
74,75,食品安全,BK0614,5619.06,45.12,0.81,339124656000,0.13,35,4,圣达生物,10.03
75,76,商汤概念,BK0942,1125.14,9.03,0.81,491999072000,0.2,11,2,盛通股份,4.7
76,77,虚拟现实,BK0722,1030.33,8.24,0.81,3376770192000,0.25,163,54,天娱数科,6.17
77,78,超导概念,BK0679,3676.98,29.2,0.8,234842605000,0.09,12,0,联创光电,3.75
78,79,6G概念,BK0964,1394.85,10.69,0.77,527369696000,0.33,23,4,创远信科,3.85
79,80,电子纸概念,BK1057,1127.81,8.61,0.77,360392816000,0.09,10,1,汉王科技,4.87
80,81,AI芯片,BK1127,1168.46,8.84,0.76,1095949728000,0.17,20,5,昆仑万维,4.58
81,82,全息技术,BK0699,2097.04,15.81,0.76,145588536000,0.14,8,2,联创光电,3.75
82,83,时空大数据,BK1130,1320.75,9.76,0.74,151995555000,0.32,18,5,零点有数,3.03
83,84,净水概念,BK1068,1142.52,8.41,0.74,1184001744000,0.05,14,4,泰和科技,6.47
84,85,彩票概念,BK0671,2229.99,16.35,0.74,383804656000,0.16,17,4,人民网,1.98
85,86,啤酒概念,BK1073,1038.63,7.59,0.74,242985888000,0.11,15,2,兰州黄河,2.98
86,87,ETC,BK0875,1635.28,11.91,0.73,384710976000,0.23,35,7,宇瞳光学,5.24
87,88,跨境电商,BK1115,1207.69,8.73,0.73,1237602560000,0.36,101,20,蓝色光标,8.67
88,89,混合现实,BK1141,1235.92,8.76,0.71,952284464000,0.14,20,9,天娱数科,6.17
89,90,赛马概念,BK0709,649.88,4.57,0.71,18035057000,0.13,2,0,中体产业,1.48
90,91,AI眼镜,BK1178,1545.62,10.66,0.69,1002299824000,0.17,49,15,慈文传媒,6.72
91,92,生物识别,BK0970,1465.25,9.9,0.68,1102297584000,0.29,38,9,汉王科技,4.87
92,93,EDR概念,BK1049,1454.72,9.8,0.68,268078423000,0.55,10,4,三六零,8.7
93,94,WiFi,BK0915,1122.36,7.5,0.67,539561824000,0.17,25,2,创远信科,3.85
94,95,娃哈哈概念,BK1165,1052.65,6.89,0.66,97932750000,0.09,17,1,盛通股份,4.7
95,96,科创板做市商,BK1107,1581.02,10.32,0.66,2026510048000,0.05,14,0,中国银河,3.03
96,97,数据中心,BK0922,1548.95,10.05,0.65,5790264064000,0.28,142,45,中科金财,9.99
97,98,白酒,BK0896,2262.44,14.66,0.65,3873911536000,0.07,45,2,中锐股份,2.5
98,99,券商概念,BK0711,1213.76,7.77,0.64,4487572224000,0.07,55,2,中国银河,3.03
99,100,独角兽,BK0835,1666.48,10.56,0.64,5396209408000,0.19,90,29,日出东方,8.54
100,101,超清视频,BK0859,1783.31,11.21,0.63,2393347904000,0.17,75,17,当虹科技,3.62
101,102,参股期货,BK0524,29765.34,186.04,0.63,3417872384000,0.06,36,7,中科金财,9.99
102,103,培育钻石,BK1023,985.11,6.14,0.63,139365930000,0.07,11,1,英诺激光,6.49
103,104,华为概念,BK0854,3221.41,19.94,0.62,12891653376000,0.25,497,167,中科金财,9.99
104,105,体育产业,BK0708,1122.62,6.87,0.62,837539296000,0.17,54,14,盛通股份,4.7
105,106,光伏建筑一体化,BK0978,1311.22,7.89,0.61,1143951344000,0.13,57,19,立方数科,19.92
106,107,PPP模式,BK0721,693.09,4.11,0.6,2455012416000,0.11,115,26,渤海股份,9.96
107,108,京东金融,BK0849,1419.91,8.42,0.6,227305041000,0.06,9,2,时代出版,2.3
108,109,增强现实,BK0801,1043.57,6.12,0.59,599990096000,0.38,34,11,纬达光电,5.18
109,110,新型城镇化,BK1080,882.94,5.16,0.59,435618256000,0.22,79,12,大千生态,5.57
110,111,3D打印,BK0619,4973.92,29.0,0.59,576120816000,0.34,43,15,有研新材,10.03
111,112,物联网,BK0554,13291.16,75.96,0.57,8168152320000,0.23,281,69,三六零,8.7
112,113,机器视觉,BK0998,1411.19,7.83,0.56,430681968000,0.33,50,15,宇瞳光学,5.24
113,114,互联金融,BK0637,4826.38,26.56,0.55,18774707712000,0.04,135,64,海宁皮城,9.9
114,115,维生素,BK0895,1673.76,9.1,0.55,426008928000,0.06,22,5,圣达生物,10.03
115,116,量子通信,BK0710,2358.47,12.65,0.54,1345931152000,0.18,39,10,天融信,5.97
116,117,重组蛋白,BK1063,783.69,4.2,0.54,162232691000,0.04,13,1,三生国健,1.02
117,118,工业互联,BK0832,1951.83,10.44,0.54,4286392064000,0.18,129,40,中科金财,9.99
118,119,参股新三板,BK0600,2398.92,12.8,0.54,1433499840000,0.14,77,18,佛塑科技,10.0
119,120,数字哨兵,BK1084,1511.76,8.03,0.53,91576574000,0.22,10,2,恒实科技,1.74
120,121,血氧仪,BK1122,921.72,4.88,0.53,138130608000,0.06,14,0,中科美菱,1.16
121,122,光通信模块,BK1136,1311.13,6.94,0.53,927411904000,0.13,41,13,奥飞数据,3.05
122,123,铜缆高速连接,BK1168,1275.8,6.71,0.53,533803760000,0.12,24,5,奥飞数据,3.05
123,124,地下管网,BK1058,945.77,4.88,0.52,305613120000,0.06,34,8,优机股份,3.83
124,125,健康中国,BK0719,1123.04,5.78,0.52,1570199360000,0.12,80,15,海宁皮城,9.9
125,126,鸡肉概念,BK0887,748.0,3.84,0.52,378167200000,0.04,18,0,巨星农牧,2.97
126,127,创投,BK0506,14399.8,73.45,0.51,4652430080000,0.17,212,59,日出东方,8.54
127,128,微盘股,BK1158,1943.5,9.88,0.51,731359504000,0.19,314,64,唯赛勃,10.77
128,129,股权激励,BK0567,2787.69,14.17,0.51,4571820288000,0.18,145,49,大千生态,5.57
129,130,可燃冰,BK0818,1141.1,5.76,0.51,312075568000,0.03,11,1,海默科技,2.56
130,131,创业板综,BK0742,1419.92,6.95,0.49,13364731904000,0.24,975,323,立方数科,19.92
131,132,电商概念,BK0665,1914.07,9.2,0.48,6591376640000,0.18,236,72,海宁皮城,9.9
132,133,车联网(车路云),BK0920,1367.63,6.57,0.48,5675742464000,0.2,157,50,三六零,8.7
133,134,口罩,BK0911,1483.03,7.1,0.48,2754331488000,0.16,110,44,佛塑科技,10.0
134,135,国资云概念,BK1008,1379.94,6.6,0.48,349443104000,0.15,13,4,广电运通,3.01
135,136,CPO概念,BK1128,2431.54,11.59,0.48,1376837280000,0.12,35,8,奥飞数据,3.05
136,137,海洋经济,BK0623,2366.86,11.24,0.48,722421808000,0.05,23,5,东方海洋,2.08
137,138,人脑工程,BK0706,3657.76,17.34,0.48,323617024000,0.55,14,5,汉王科技,4.87
138,139,抖音小店,BK0928,993.56,4.69,0.47,196495716000,0.32,19,4,盛通股份,4.7
139,140,RCEP概念,BK0962,963.05,4.51,0.47,189119933000,0.08,18,2,渤海轮渡,1.41
140,141,辅助生殖,BK0939,999.72,4.66,0.47,552487392000,0.09,39,6,悦心健康,5.57
141,142,土地流转,BK0632,1605.12,7.45,0.47,452441104000,0.19,30,10,世荣兆业,5.41
142,143,土壤修复,BK1070,779.57,3.57,0.46,196160711000,0.12,26,7,中达安,2.08
143,144,房屋检测,BK1179,1316.59,6.01,0.46,231542736000,0.22,28,7,南威软件,4.23
144,145,智能穿戴,BK0641,2837.91,12.83,0.45,2626709344000,0.25,77,33,三六零,8.7
145,146,OLED,BK0840,2571.25,11.51,0.45,2177241472000,0.21,91,31,佛塑科技,10.0
146,147,新型工业化,BK1150,1035.39,4.63,0.45,1558101072000,0.16,66,18,鼎捷数智,5.87
147,148,地摊经济,BK0924,1731.89,7.66,0.44,629684656000,0.12,22,12,海宁皮城,9.9
148,149,石墨烯,BK0617,1911.23,8.39,0.44,861680160000,0.11,49,18,佛塑科技,10.0
149,150,钙钛矿电池,BK1094,786.25,3.43,0.44,675935408000,0.08,21,6,英诺激光,6.49
150,151,激光雷达,BK1002,1441.24,6.28,0.44,373072368000,0.17,22,9,宇瞳光学,5.24
151,152,星闪概念,BK1149,1348.35,5.86,0.44,516923760000,0.51,24,9,利尔达,4.06
152,153,电子烟,BK0865,1745.07,7.46,0.43,945941600000,0.11,35,14,唯科科技,2.72
153,154,婴童概念,BK0664,1348.15,5.76,0.43,1206989056000,0.16,109,26,悦心健康,5.57
154,155,尾气治理,BK0932,1377.71,5.88,0.43,237240097000,0.5,19,11,有研新材,10.03
155,156,水产养殖,BK0967,840.75,3.58,0.43,283678336000,0.09,14,2,东方海洋,2.08
156,157,参股保险,BK0604,2294.92,9.73,0.43,5592015360000,0.06,58,20,天利科技,9.8
157,158,IPv6,BK0897,1298.34,5.49,0.42,569345280000,0.18,10,2,神州泰岳,2.22
